epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
120,240,,0.8359375,,0.47189971804618835,,
120,241,,0.7222222089767456,,0.6014466285705566,,
120,241,,,,,0.41085270047187805,1.994437336921692
120,241,0.8222591280937195,,0.4650314748287201,,,
121,242,,0.83984375,,0.45314520597457886,,
121,243,,0.7666666507720947,,0.535672664642334,,
121,243,,,,,0.41085270047187805,2.0168418884277344
121,243,0.8355481624603271,,0.4579899311065674,,,
122,244,,0.83203125,,0.45352157950401306,,
122,245,,0.7777777910232544,,0.5187438130378723,,
122,245,,,,,0.39534884691238403,2.034933567047119
122,245,0.8289036750793457,,0.46685442328453064,,,
123,246,,0.83203125,,0.4956418573856354,,
123,247,,0.8111110925674438,,0.4970649182796478,,
123,247,,,,,0.39534884691238403,2.038653612136841
123,247,0.8089700937271118,,0.4926711618900299,,,
124,248,,0.81640625,,0.4788513779640198,,
124,249,,0.8666666746139526,,0.47916221618652344,,
124,249,,,,,0.39534884691238403,2.047238826751709
124,249,0.8272425532341003,,0.4670502543449402,,,
125,250,,0.81640625,,0.46968454122543335,,
125,251,,0.8111110925674438,,0.4733421504497528,,
125,251,,,,,0.38759690523147583,2.041266441345215
125,251,0.8239202499389648,,0.4764103591442108,,,
126,252,,0.8515625,,0.4344291687011719,,
126,253,,0.7666666507720947,,0.4921232759952545,,
126,253,,,,,0.3798449635505676,2.034651517868042
126,253,0.840531587600708,,0.45397356152534485,,,
127,254,,0.859375,,0.44401776790618896,,
127,255,,0.8444444537162781,,0.47979941964149475,,
127,255,,,,,0.38759690523147583,2.0262112617492676
127,255,0.8372092843055725,,0.46510010957717896,,,
128,256,,0.80078125,,0.5222230553627014,,
128,257,,0.8111110925674438,,0.4326734244823456,,
128,257,,,,,0.39534884691238403,2.0220792293548584
128,257,0.8322259187698364,,0.46017345786094666,,,
129,258,,0.82421875,,0.4317737817764282,,
129,259,,0.855555534362793,,0.4407138228416443,,
129,259,,,,,0.40310078859329224,2.027421474456787
129,259,0.8272425532341003,,0.4442630410194397,,,
130,260,,0.88671875,,0.363180011510849,,
130,261,,0.8333333134651184,,0.39417925477027893,,
130,261,,,,,0.40310078859329224,2.0263707637786865
130,261,0.8571428656578064,,0.40907177329063416,,,
131,262,,0.8359375,,0.437010258436203,,
131,263,,0.8666666746139526,,0.41818299889564514,,
131,263,,,,,0.41085270047187805,2.022768974304199
131,263,0.8588039875030518,,0.4332522749900818,,,
132,264,,0.83984375,,0.4250185787677765,,
132,265,,0.8444444537162781,,0.4473893344402313,,
132,265,,,,,0.41860464215278625,2.0241706371307373
132,265,0.8588039875030518,,0.42060086131095886,,,
133,266,,0.8125,,0.48052549362182617,,
133,267,,0.7777777910232544,,0.48415225744247437,,
133,267,,,,,0.42635658383369446,2.027276039123535
133,267,0.8338870406150818,,0.44356438517570496,,,
134,268,,0.8359375,,0.4051980674266815,,
134,269,,0.8999999761581421,,0.3693861961364746,,
134,269,,,,,0.42635658383369446,2.030604362487793
134,269,0.8455149531364441,,0.4068087935447693,,,
135,270,,0.84765625,,0.4532339870929718,,
135,271,,0.8444444537162781,,0.4095914959907532,,
135,271,,,,,0.42635658383369446,2.04176926612854
135,271,0.8604651093482971,,0.4240175485610962,,,
136,272,,0.85546875,,0.43030568957328796,,
136,273,,0.8666666746139526,,0.3796153962612152,,
136,273,,,,,0.41860464215278625,2.0495212078094482
136,273,0.8737541437149048,,0.39526858925819397,,,
137,274,,0.82421875,,0.4596840739250183,,
137,275,,0.8333333134651184,,0.40016278624534607,,
137,275,,,,,0.41860464215278625,2.0582115650177
